epoch,lr,train_loss,val_loss,best_loss
0,1e-04,0.49786472978529994,0.3108423173427582,0.3108423173427582
1,1e-04,0.28232173002385474,0.2866917192935944,0.2866917192935944
2,1e-04,0.26126616090149074,0.26119230389595033,0.26119230389595033
3,1e-04,0.25261619822545484,0.25620828494429587,0.25620828494429587
4,1e-04,0.25027095923176057,0.25367931425571444,0.25367931425571444
5,1e-04,0.24813731266306593,0.25232445299625395,0.25232445299625395
6,1e-04,0.24650910303190157,0.25032893791794775,0.25032893791794775
7,1e-04,0.24451322950326004,0.2492816038429737,0.2492816038429737
8,1e-04,0.24509395465448305,0.25044594928622244,0.2492816038429737
9,1e-04,0.24405702871161622,0.2481332503259182,0.2481332503259182
10,1e-04,0.24312259392304855,0.2502760343253613,0.2481332503259182
11,1e-04,0.24074047726470155,0.2468788966536522,0.2468788966536522
12,1e-04,0.24247381284639433,0.24625595659017563,0.24625595659017563
13,1e-04,0.2399415811160942,0.24583384469151498,0.24583384469151498
14,1e-04,0.24043001679631024,0.2530170135200024,0.24583384469151498
15,1e-04,0.2398305997833029,0.2459072634577751,0.24583384469151498
16,1e-04,0.23988169470390716,0.24668364226818085,0.24583384469151498
17,1e-04,0.23877865366347426,0.24731252938508988,0.24583384469151498
18,1e-04,0.23772903077014082,0.24371414333581926,0.24371414333581926
19,1e-04,0.23786043520871694,0.24318536296486853,0.24318536296486853
20,1e-04,0.23972294644101874,0.2431536316871643,0.2431536316871643
21,1e-04,0.23695665462450546,0.24325525388121605,0.2431536316871643
22,1e-04,0.23744707738424276,0.2512010052800179,0.2431536316871643
23,1e-04,0.23620701107111844,0.24939405918121338,0.2431536316871643
24,1e-04,0.2367127833815364,0.24428148567676544,0.2431536316871643
25,1e-04,0.2361405220898715,0.2411885991692543,0.2411885991692543
26,1e-04,0.23567647883644352,0.2412806496024132,0.2411885991692543
27,1e-04,0.23483567442986872,0.24095272570848464,0.24095272570848464
28,1e-04,0.23563470410836207,0.2399572364985943,0.2399572364985943
29,1e-04,0.23435538794313157,0.24037488400936127,0.2399572364985943
30,1e-04,0.23374989822313383,0.2400597482919693,0.2399572364985943
31,1e-04,0.23493491248650986,0.24661455526947976,0.2399572364985943
32,1e-04,0.2346541022325491,0.2399591512978077,0.2399572364985943
33,1e-04,0.2330782436705255,0.23925880417227746,0.23925880417227746
34,1e-04,0.23333509014798448,0.2386556439101696,0.2386556439101696
35,1e-04,0.23351002494236092,0.23886527121067047,0.2386556439101696
36,1e-04,0.23214746063405817,0.23866920694708824,0.2386556439101696
37,1e-04,0.2321317790003566,0.23822553381323813,0.23822553381323813
38,1e-04,0.2320463831548567,0.23861851692199706,0.23822553381323813
39,1e-04,0.23320999528680528,0.23705162331461907,0.23705162331461907
40,1e-04,0.2327916430575507,0.23797398209571838,0.23705162331461907
41,1e-04,0.23120650765183684,0.23949802815914153,0.23705162331461907
42,1e-04,0.2299373105361864,0.23570671901106835,0.23570671901106835
43,1e-04,0.23065333842457114,0.23828839734196663,0.23570671901106835
44,1e-04,0.23054444364139012,0.23489113226532937,0.23489113226532937
45,1e-04,0.22985699927652037,0.23566911965608597,0.23489113226532937
46,1e-04,0.22960917516188187,0.23446707502007486,0.23446707502007486
47,1e-04,0.22884365935604295,0.2343780055642128,0.2343780055642128
48,1e-04,0.22898526760664853,0.23440633565187455,0.2343780055642128
49,1e-04,0.22821335533222595,0.23355821073055266,0.23355821073055266
50,1e-04,0.22847185738675005,0.23373309001326562,0.23355821073055266
51,1e-04,0.22830168515830845,0.23413384184241295,0.23355821073055266
52,1e-04,0.22803559531639148,0.2347947433590889,0.23355821073055266
53,1e-04,0.22906065374225765,0.23896374255418779,0.23355821073055266
54,1e-04,0.22732883207983784,0.2321199156343937,0.2321199156343937
55,1e-04,0.22652937858909755,0.23315434381365777,0.2321199156343937
56,1e-04,0.2263968912037936,0.23127850517630577,0.23127850517630577
57,1e-04,0.22702085294506766,0.23164928555488587,0.23127850517630577
58,1e-04,0.22640842179973403,0.2311841756105423,0.2311841756105423
59,1e-04,0.22674192546249985,0.23216161355376244,0.2311841756105423
60,1e-04,0.2264507401299167,0.23339777812361717,0.2311841756105423
61,1e-04,0.22510232786079507,0.23041849210858345,0.23041849210858345
62,1e-04,0.2250026630890834,0.2297126069664955,0.2297126069664955
63,1e-04,0.2259634059744996,0.23047282919287682,0.2297126069664955
64,1e-04,0.224473258891663,0.2286032944917679,0.2286032944917679
65,1e-04,0.22428351253658146,0.23262355998158454,0.2286032944917679
66,1e-04,0.2238661501701776,0.22854432687163354,0.22854432687163354
67,1e-04,0.22356440049487275,0.22783183082938194,0.22783183082938194
68,1e-04,0.22336389414675825,0.22952095419168472,0.22783183082938194
69,1e-04,0.22273168587065362,0.22982672601938248,0.22783183082938194
70,1e-04,0.222839279608293,0.22750089839100837,0.22750089839100837
71,1e-04,0.2228577450498358,0.22864974588155745,0.22750089839100837
